BAM	original_depth
DPCh_plate1_A03_S3.rmdup.bam	0.195243
DPCh_plate1_A04_S4.rmdup.bam	0.27518
DPCh_plate1_B03_S15.rmdup.bam	0.033987
DPCh_plate1_C01_S25.rmdup.bam	0.0689217
DPCh_plate1_D03_S39.rmdup.bam	0.693518
DPCh_plate1_D04_S40.rmdup.bam	0.587689
DPCh_plate1_E01_S49.rmdup.bam	1.03536
DPCh_plate1_F01_S61.rmdup.bam	0.0707827
DPCh_plate1_G03_S75.rmdup.bam	1.32699
DPCh_plate1_G04_S76.rmdup.bam	0.0988114
DPCh_plate1_G08_S80.rmdup.bam	1.49061
DPCh_plate1_H03_S87.rmdup.bam	0.149337
DPCh_plate1_H04_S88.rmdup.bam	0.537143
DPCh_plate1_H06_S90.rmdup.bam	1.73618
DPCh_plate2_A01_S97.rmdup.bam	1.53112
DPCh_plate2_A02_S98.rmdup.bam	1.24226
DPCh_plate2_A04_S100.rmdup.bam	1.23253
DPCh_plate2_B01_S105.rmdup.bam	1.7638
DPCh_plate2_B02_S106.rmdup.bam	2.19983
DPCh_plate2_C01_S113.rmdup.bam	1.41457
DPCh_plate2_C02_S114.rmdup.bam	1.40087
DPCh_plate2_D03_S123.rmdup.bam	1.5605
DPCh_plate2_E03_S131.rmdup.bam	1.52553
DPCh_plate2_H03_S155.rmdup.bam	1.88931
